Spine File,ChordDistribution,OpenAngle,CVD,AverageDistance,LengthVolumeRatio,LengthAreaRatio,JunctionArea,Length,Area,Volume,ConvexHullVolume,ConvexHullRatio
example dataset\31-1\spine_3.off,"[7.51793500e+00 1.02520454e+01 8.36213935e+00 5.56375827e+00
 4.40688565e+00 3.53662561e+00 2.94602998e+00 2.55693168e+00
 2.37801595e+00 1.94028036e+00 1.41569247e+00 1.44695930e+00
 1.20724696e+00 1.25588424e+00 1.19335059e+00 1.29062516e+00
 1.23677674e+00 1.12907989e+00 1.18292831e+00 1.11518352e+00
 9.84905070e-01 1.09955011e+00 1.02659417e+00 9.32793691e-01
 9.71008703e-01 9.93590300e-01 1.06654623e+00 9.83168024e-01
 1.03527940e+00 1.02485713e+00 1.03875350e+00 1.03875350e+00
 1.00574962e+00 9.93590300e-01 1.04049054e+00 9.60586427e-01
 8.96315725e-01 8.92841634e-01 9.22371415e-01 8.58100714e-01
 8.38993208e-01 8.04252289e-01 7.38244541e-01 7.19137036e-01
 6.89607254e-01 7.17399990e-01 6.68762702e-01 6.49655196e-01
 5.50643576e-01 6.30547691e-01 5.47169484e-01 5.36747208e-01
 5.50643576e-01 5.33273116e-01 5.17639702e-01 4.91584012e-01
 4.25576265e-01 4.08205805e-01 4.02994667e-01 3.80413070e-01
 3.57831472e-01 3.82150116e-01 3.42198058e-01 3.45672150e-01
 3.05720092e-01 3.16142368e-01 2.93560771e-01 2.41449391e-01
 2.22341885e-01 2.41449391e-01 2.67505081e-01 2.13656655e-01
 2.37975299e-01 2.20604839e-01 2.36238253e-01 1.99760288e-01
 1.84126874e-01 1.80652782e-01 1.70230506e-01 1.92812104e-01
 1.52860046e-01 1.30278448e-01 1.28541402e-01 1.16382081e-01
 1.28541402e-01 1.00748667e-01 9.03263909e-02 7.46929771e-02
 7.99041151e-02 7.81670691e-02 5.38484254e-02 6.25336553e-02
 4.34261495e-02 3.12668276e-02 2.77927357e-02 2.08445518e-02
 1.56334138e-02 8.68522990e-03 0.00000000e+00 1.73704598e-03]",0.7496264350590812,0.44478843472495727,1.4114103387831174,1.414079265788658,0.2042593010768948,0.9459820100434786,2.6165767354577296,11.864091860094272,1.8503748684826493,2.595228547922971,0.402542042765161

example dataset\3_full_res (1)\spine_5.off,"[5.19569982e+00 7.95950318e+00 6.90533347e+00 5.18526250e+00
 4.08308110e+00 3.18338378e+00 2.79720280e+00 2.51539505e+00
 2.25654942e+00 1.82861914e+00 1.92255506e+00 1.74303309e+00
 1.69919633e+00 1.65535957e+00 1.93507985e+00 1.73885816e+00
 1.65535957e+00 1.71380858e+00 1.76390773e+00 1.53219914e+00
 1.55307379e+00 1.51967436e+00 1.41112619e+00 1.34223985e+00
 1.33388999e+00 1.27752844e+00 1.31092788e+00 1.24412901e+00
 1.07086943e+00 1.06669450e+00 9.35184219e-01 9.81108444e-01
 8.87172529e-01 8.32898445e-01 8.16198727e-01 8.53773093e-01
 8.14111262e-01 7.59837178e-01 7.20175347e-01 7.74449431e-01
 7.45224924e-01 6.72163657e-01 6.09539714e-01 6.57551404e-01
 6.53376474e-01 6.67988728e-01 5.99102390e-01 6.28326897e-01
 6.05364784e-01 5.71965348e-01 5.30216053e-01 5.61528024e-01
 5.46915771e-01 5.55265630e-01 5.30216053e-01 4.57154786e-01
 4.55067321e-01 4.42542532e-01 4.27930279e-01 3.92443378e-01
 4.86379292e-01 4.52979856e-01 3.82006054e-01 3.56956476e-01
 3.48606617e-01 4.04968166e-01 3.77831124e-01 2.98507463e-01
 3.08944787e-01 3.29819434e-01 2.79720280e-01 2.98507463e-01
 3.67393800e-01 2.83895209e-01 3.04769857e-01 2.37970984e-01
 2.77632815e-01 2.54670702e-01 2.21271266e-01 1.73259576e-01
 1.83696900e-01 2.12921407e-01 1.81609435e-01 1.58647323e-01
 1.46122534e-01 1.12723098e-01 8.76735205e-02 1.04373239e-01
 4.17492955e-02 4.59242250e-02 3.75743659e-02 3.75743659e-02
 2.08746477e-02 1.46122534e-02 2.29621125e-02 3.33994364e-02
 8.34985910e-03 8.34985910e-03 6.26239432e-03 4.17492955e-03]",1.1000665940851875,0.33241064386233826,1.389556048376919,1.7522354167919307,0.21355812234878524,1.5503029107828583,2.228699911861107,8.885731492166105,1.2719180827548322,1.6630607823122254,0.3075219268132598

example dataset\39\spine_1.off,"[3.34165111e+00 8.44748460e+00 7.14397892e+00 5.36409165e+00
 4.07105589e+00 3.84944248e+00 3.22299196e+00 2.93332403e+00
 2.49358717e+00 2.52325196e+00 2.49707715e+00 2.52325196e+00
 2.22660408e+00 2.32432338e+00 2.14807964e+00 1.98579580e+00
 1.83747186e+00 2.03291046e+00 1.99801071e+00 1.83921685e+00
 1.59840857e+00 1.57397875e+00 1.54605895e+00 1.40296997e+00
 1.35411032e+00 1.22498124e+00 1.13773187e+00 1.04873750e+00
 1.08363725e+00 1.06618738e+00 9.63233113e-01 8.95178599e-01
 8.91688624e-01 7.95714311e-01 7.59069573e-01 7.92224336e-01
 7.29404785e-01 6.49135359e-01 6.54370321e-01 6.00275708e-01
 5.95040745e-01 6.24705533e-01 6.35175458e-01 5.70610920e-01
 5.81080845e-01 5.98530721e-01 5.63630970e-01 4.99066432e-01
 5.23496257e-01 4.97321444e-01 4.62421694e-01 4.74636606e-01
 4.22286981e-01 4.36246881e-01 4.01347130e-01 3.89132218e-01
 3.73427330e-01 3.64702392e-01 3.43762542e-01 3.57722442e-01
 3.35037604e-01 2.84432966e-01 2.73963041e-01 3.24567679e-01
 2.33828328e-01 2.49533216e-01 2.44298253e-01 1.90203640e-01
 1.69263790e-01 2.09398503e-01 1.83223690e-01 2.04163540e-01
 2.18123440e-01 1.48323939e-01 1.36109027e-01 1.60538852e-01
 1.37854014e-01 1.30874064e-01 1.08189226e-01 1.06444239e-01
 1.04699251e-01 8.72493762e-02 8.02694261e-02 7.32894760e-02
 5.58396007e-02 5.93295758e-02 3.31547629e-02 3.83897255e-02
 3.31547629e-02 3.83897255e-02 2.44298253e-02 1.91948628e-02
 1.22149127e-02 5.23496257e-03 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.74498752e-03]",0.7814190796274841,0.38961433552667024,1.5058667182456265,1.6790564905329504,0.18742430510484787,1.070501867659839,2.4667016166114166,12.090553285947417,1.4690998370331538,2.7685836057848325,0.8845442195242397

example dataset\24\spine_5.off,"[1.81686398e+00 4.27156318e+00 4.60256101e+00 3.95747765e+00
 3.92123701e+00 3.38729162e+00 2.36288959e+00 2.16960619e+00
 1.85068857e+00 1.59942015e+00 1.53660304e+00 1.42063300e+00
 1.42304905e+00 1.44479343e+00 1.27808649e+00 1.41338488e+00
 1.51969075e+00 1.45445760e+00 1.55593138e+00 1.61150036e+00
 1.66948538e+00 1.74679874e+00 1.68398164e+00 1.81928002e+00
 1.79511959e+00 1.71297415e+00 1.74196666e+00 1.80961585e+00
 1.71297415e+00 1.60425223e+00 1.67914955e+00 1.57525972e+00
 1.51244262e+00 1.50519449e+00 1.40855279e+00 1.42063300e+00
 1.32157526e+00 1.26359024e+00 1.31674317e+00 1.22010147e+00
 1.16453250e+00 1.19835709e+00 1.15486833e+00 1.10171539e+00
 9.90577434e-01 1.06064267e+00 8.96351776e-01 8.45614883e-01
 9.06015946e-01 8.72191351e-01 7.82797777e-01 7.41725054e-01
 6.83740034e-01 7.00652331e-01 6.64411694e-01 6.47499396e-01
 6.16090843e-01 6.45083353e-01 5.04952887e-01 5.36361440e-01
 4.90456632e-01 4.61464122e-01 4.71128292e-01 4.32471612e-01
 3.67238463e-01 3.74486591e-01 3.26165741e-01 3.40661996e-01
 3.14085528e-01 2.77844890e-01 2.99589273e-01 2.53684465e-01
 2.36772167e-01 2.48852380e-01 2.19859870e-01 1.86035274e-01
 1.81203189e-01 1.76371104e-01 1.69122977e-01 1.69122977e-01
 1.25634211e-01 1.49794636e-01 1.20802126e-01 1.25634211e-01
 1.15970041e-01 1.01473786e-01 6.76491906e-02 7.97294032e-02
 4.10727229e-02 7.00652331e-02 4.10727229e-02 4.10727229e-02
 1.93283402e-02 1.20802126e-02 1.44962551e-02 2.17443827e-02
 7.24812757e-03 2.41604252e-03 9.66417009e-03 4.83208504e-03]",0.9195162585642579,0.3950911695553359,0.6661486997592131,3.187166375064517,0.3129514989613384,0.431787630965542,1.1443121994240908,3.2247284848606284,0.3590374849511666,0.451843447779002,0.25848544154228936

example dataset\3_full_res (6)\spine_1.off,"[3.0495655  4.15459715 3.51893574 3.33118764 3.07370454 2.8108572
 2.38708293 2.53728141 2.54264564 2.73575797 2.78671816 2.82158567
 2.6552945  2.52655294 2.39512928 2.28248042 2.09473232 2.13228194
 1.82920288 1.91234846 1.79701749 1.68168651 1.61195151 1.50466688
 1.51003111 1.57171977 1.42420341 1.38128956 1.29277974 1.44834245
 1.13989915 1.27400494 1.21499839 1.20426993 1.05407145 1.13989915
 1.06479991 1.00042914 1.01652183 0.93069413 0.87973393 0.87705182
 0.8395022  0.80195258 0.76172085 0.74294604 0.73489969 0.69198584
 0.66516468 0.64907199 0.66248257 0.63297929 0.57933698 0.53642313
 0.52033044 0.50960197 0.56056217 0.54983371 0.43718485 0.50691986
 0.47205235 0.46132389 0.47205235 0.42645639 0.41572793 0.36208561
 0.42377427 0.30576118 0.32721811 0.28698637 0.26552945 0.2735758
 0.24675464 0.21993348 0.20384079 0.19311233 0.20384079 0.22529771
 0.14751636 0.15019848 0.11801309 0.09923828 0.11264886 0.07778135
 0.08046347 0.06973501 0.07241712 0.04559597 0.0509602  0.04827808
 0.03754962 0.01072846 0.02145693 0.01072846 0.01609269 0.01609269
 0.00536423 0.02682116 0.00536423 0.01072846]",1.0478177472353891,0.6420166276993757,0.7688644698641166,15.44244827774679,0.8376856105018017,0.11722386415033724,1.8063094588510065,2.039085658426954,0.1169704069175335,0.1395192094862836,0.19277356694712924

